      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:44:27   2848      0   00:45:03   2337      0
 24   09:00:06   8962      0   09:11:45   7591      0
 23   10:03:38   9537      0   10:45:34   5849      0
 22   09:14:48  11543      0   09:39:12   8346      0
 21   09:35:19   8241      0   09:41:37   7943      0
 20   16:20:27  10579      0   19:07:31   5918      0
 19   09:24:41   8611      0   10:43:54   6408      0
 18   09:34:29  12631      0   09:46:05  10617      0
 17   09:48:50  11811      0   09:57:05  11024      0
 16   09:33:08  17125      0   11:18:54  13312      0
 15   00:17:27   1636      0   00:20:39    918      0
 14   09:05:48  17021      0   09:50:45  13270      0
 13   00:05:00    201      0   02:10:12   3434      0
 12   00:09:41    753      0   00:18:29    554      0
 11   00:16:09    672      0   00:35:01   1175      0
 10   00:10:14   2401      0   00:37:30   1872      0
  9   09:24:37  29709      0   09:31:27  27580      0
  8   00:15:59   4278      0   00:23:32   2135      0
  7   00:17:37    820      0   00:26:34    749      0
  6   00:03:32    391      0   00:10:10   1153      0
  5   00:05:50    369      0   00:09:49    479      0
  4   00:08:58   1122      0   00:32:17   1507      0
  3   00:03:07    188      0   00:08:37    635      0
  2   00:05:27    846      0   00:08:30    727      0
  1   00:07:17    512      0   00:08:25    459      0
GEO              2679                     2807        
