You have 136 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:17:49   635      0   00:17:54   540      0
 24   00:42:30   614      0   00:50:12   588      0
 23   00:23:10   117      0   00:24:43   100      1
 22   00:18:10    82     19   02:06:05   638      0
 21   00:16:01  1614      0   00:59:45  1811      0
 20   02:27:43  3450      0   02:57:48  3302      0
 19   00:40:03    54     47   01:05:18   168      0
 18   00:04:25   339      0   00:19:06   386      0
 17   10:37:55  9316      0   11:19:41  5489      0
 16   01:26:56  1173      0   01:41:36   350      0
 15   00:13:43   229      0   00:31:08   159      0
 14   00:17:30   446      0   00:22:53   525      0
 13   00:25:41  1529      0   00:35:18  1534      0
 12   00:17:11   738      0   00:19:38   667      0
 11   00:19:31   489      0   00:22:15   215      0
 10   00:09:33   889      0   00:15:59   331      0
  9   00:15:33  1082      0   00:21:44   557      0
  8   00:04:49   124      0   00:08:36    48     53
  7   00:13:27   203      0   00:17:33   186      0
  6   00:03:22   721      0   00:03:55   556      0
  5   00:18:54  2453      0   00:20:54  2057      0
  4   00:08:51  3885      0   00:14:20  4467      0
  3   00:04:05   288      0   00:08:19   476      0
  2   00:04:19   197      0   00:06:04    85     16
  1   00:02:54  1037      0   00:04:56  1266      0
GEO              594                     528        
